model_family,split_name,target,feature,importance
ExtraTrees,holdout_G01,Nuavg,Lw_mm,0.0018890303316042596
ExtraTrees,holdout_G01,Nuavg,epsi,3.2433619261851956e-06
ExtraTrees,holdout_G01,DelP_Pa,Re,0.5909612811556557
ExtraTrees,holdout_G01,DelP_Pa,Da,0.29432287617684594
ExtraTrees,holdout_G01,DelP_Pa,Hp_mm,0.10673846311843242
ExtraTrees,holdout_G01,DelP_Pa,a_mm,0.007943216209288163
ExtraTrees,holdout_G01,DelP_Pa,epsi,1.9952069428343955e-05
ExtraTrees,holdout_G01,DelP_Pa,Lw_mm,1.420127862837543e-05
ExtraTrees,holdout_G01,DelP_Pa,Pr,9.99172102968178e-09
ExtraTrees,holdout_G02,Nuavg,Re,0.4761500874601935
ExtraTrees,holdout_G02,Nuavg,Pr,0.4732026466681411
ExtraTrees,holdout_G02,Nuavg,Hp_mm,0.02883678485399758
ExtraTrees,holdout_G02,Nuavg,a_mm,0.016124651165553235
ExtraTrees,holdout_G02,Nuavg,Lw_mm,0.0032530919718841205
ExtraTrees,holdout_G02,Nuavg,Da,0.0023772798530560723
ExtraTrees,holdout_G02,Nuavg,epsi,5.545802717428208e-05
ExtraTrees,holdout_G02,DelP_Pa,Re,0.5891903234239606
ExtraTrees,holdout_G02,DelP_Pa,Da,0.29699267009471464
ExtraTrees,holdout_G02,DelP_Pa,Hp_mm,0.10475484060532611
ExtraTrees,holdout_G02,DelP_Pa,a_mm,0.00812097179801852
ExtraTrees,holdout_G02,DelP_Pa,Lw_mm,0.0009218174782426282
ExtraTrees,holdout_G02,DelP_Pa,epsi,1.9346169593031114e-05
ExtraTrees,holdout_G02,DelP_Pa,Pr,3.043014437344153e-08
ExtraTrees,holdout_G03,Nuavg,Re,0.47518311511153116
ExtraTrees,holdout_G03,Nuavg,Pr,0.47372190607725795
ExtraTrees,holdout_G03,Nuavg,Hp_mm,0.029855637364083275
ExtraTrees,holdout_G03,Nuavg,a_mm,0.0159122692878694
ExtraTrees,holdout_G03,Nuavg,Lw_mm,0.003223293395274269
ExtraTrees,holdout_G03,Nuavg,Da,0.0020512491393169124
ExtraTrees,holdout_G03,Nuavg,epsi,5.2529624667177087e-05
