split_name,family,target,score_method,tolerance_pct,failure_rate,failure_AUROC,failure_AUPRC,AURC_MAPE_pct,full_MAE,full_RMSE,full_MAPE_pct,full_R2,model_family
random80_20,in_distribution,Nuavg,U_only,5.0,0.008676789587852495,0.8458698030634574,0.05542466453584644,0.1323634577270373,0.07403527762199563,0.23347585453304576,0.3227842221555548,0.9993900057246003,ExtraTrees
random80_20,in_distribution,Nuavg,D_only,5.0,0.008676789587852495,0.6583014223194747,0.013640687394526882,0.24193092853643947,0.07403527762199563,0.23347585453304576,0.3227842221555548,0.9993900057246003,ExtraTrees
random80_20,in_distribution,Nuavg,V_only,5.0,0.008676789587852495,0.5,0.008676789587852495,0.3191219110286361,0.07403527762199563,0.23347585453304576,0.3227842221555548,0.9993900057246003,ExtraTrees
random80_20,in_distribution,Nuavg,U_plus_D,5.0,0.008676789587852495,0.81085886214442,0.06785031141909277,0.1529219260747275,0.07403527762199563,0.23347585453304576,0.3227842221555548,0.9993900057246003,ExtraTrees
random80_20,in_distribution,Nuavg,U_plus_V,5.0,0.008676789587852495,0.8458698030634574,0.05542466453584644,0.1323634577270373,0.07403527762199563,0.23347585453304576,0.3227842221555548,0.9993900057246003,ExtraTrees
random80_20,in_distribution,Nuavg,D_plus_V,5.0,0.008676789587852495,0.6583014223194747,0.013640687394526882,0.24193092853643947,0.07403527762199563,0.23347585453304576,0.3227842221555548,0.9993900057246003,ExtraTrees
random80_20,in_distribution,Nuavg,U_plus_D_plus_V,5.0,0.008676789587852495,0.81085886214442,0.06785031141909277,0.1529219260747275,0.07403527762199563,0.23347585453304576,0.3227842221555548,0.9993900057246003,ExtraTrees
random80_20,in_distribution,Nuavg,U_2D_plus_V,5.0,0.008676789587852495,0.7937636761487965,0.05608218830423544,0.1720983828748835,0.07403527762199563,0.23347585453304576,0.3227842221555548,0.9993900057246003,ExtraTrees
random80_20,in_distribution,Nuavg,conservative_U_D_V_max,5.0,0.008676789587852495,0.769488512035011,0.028787579336720513,0.18632578662876137,0.07403527762199563,0.23347585453304576,0.3227842221555548,0.9993900057246003,ExtraTrees
random80_20,in_distribution,Nuavg,oracle_error_rank,5.0,0.008676789587852495,1.0,1.0,0.05914330426906151,0.07403527762199563,0.23347585453304576,0.3227842221555548,0.9993900057246003,ExtraTrees
