model_family,split_family,target,n_cases,predict_cov_pct,warn_cov_pct,abstain_cov_pct,MAPE_all_pct,MAPE_predict_pct,MAPE_warn_pct,MAPE_abstain_pct,failure_predict_pct,failure_warn_pct,failure_abstain_pct
ExtraTrees,combined_shift,DelP_Pa,192,0.0,0.0,100.0,68.17182687887687,,,68.17182687887687,,,100.0
ExtraTrees,combined_shift,Nuavg,192,0.0,0.0,100.0,29.01401396975886,,,29.01401396975886,,,100.0
ExtraTrees,in_distribution,DelP_Pa,922,77.65726681127983,7.158351409978309,15.184381778741866,0.10908894382502864,0.0840238072550298,0.147200450489167,0.21931236056992892,0.0,0.0,0.0
ExtraTrees,in_distribution,Nuavg,922,76.2472885032538,8.785249457700651,14.967462039045554,0.3227842221555548,0.22022095690508836,0.3957057143898891,0.8024605598374159,0.42674253200568996,0.0,3.6231884057971016
ExtraTrees,withheld_geometry,DelP_Pa,4608,15.494791666666666,6.510416666666667,77.99479166666666,5.210531763697972,1.1706748130826914,0.7755069129925274,6.383310093678758,0.0,0.0,18.47523650528659
ExtraTrees,withheld_geometry,Nuavg,4608,18.815104166666664,7.052951388888889,74.13194444444444,2.347691472318152,1.0500434463458588,1.0353036986249677,2.801903083842819,3.229527104959631,3.3846153846153846,14.929742388758783
ExtraTrees,withheld_reynolds,DelP_Pa,4608,0.0,4.058159722222222,95.94184027777779,115.84003876593917,,58.27071764206833,118.27511296864533,,100.0,100.0
ExtraTrees,withheld_reynolds,Nuavg,4608,0.0,4.036458333333334,95.96354166666666,18.87741675727352,,18.45374987546068,18.89523720956144,,100.0,83.6047037539575
XGBoost,combined_shift,DelP_Pa,192,0.0,0.0,100.0,68.18438106348701,,,68.18438106348701,,,100.0
XGBoost,combined_shift,Nuavg,192,0.0,0.0,100.0,29.005076624094272,,,29.005076624094272,,,100.0
XGBoost,in_distribution,DelP_Pa,922,77.87418655097615,8.459869848156181,13.665943600867678,0.4313515115793473,0.32774067413342456,0.43658057506258874,1.018531784075218,0.0,0.0,0.0
XGBoost,in_distribution,Nuavg,922,77.65726681127983,7.917570498915401,14.425162689804772,0.5153089631954141,0.3977995893092017,0.7239631400726214,1.0333913450788121,0.13966480446927373,1.36986301369863,3.7593984962406015
XGBoost,withheld_geometry,DelP_Pa,4608,37.71701388888889,10.677083333333332,51.60590277777778,4.614543569689839,1.0015585598321353,0.808211439762625,8.042669454911401,0.0,0.0,26.03027754415475
XGBoost,withheld_geometry,Nuavg,4608,30.143229166666668,8.094618055555555,61.76215277777778,2.396925918600629,1.6250529202886772,1.5111513220919297,2.889731793215191,6.767458603311735,6.970509383378016,16.865776528460998
XGBoost,withheld_reynolds,DelP_Pa,4608,21.89670138888889,10.221354166666668,67.88194444444444,132.92943989073353,65.17011157527219,66.93472210071882,164.7237731226381,100.0,100.0,100.0
XGBoost,withheld_reynolds,Nuavg,4608,21.809895833333336,10.37326388888889,67.81684027777779,28.504616622131866,23.62681621179745,21.725976154490706,31.110178080025808,100.0,100.0,100.0
