split_name,family,target,score_method,coverage_target,actual_coverage,n,MAE,RMSE,MAPE_pct,Median_APE_pct,P95_APE_pct,Max_APE_pct,Bias,R2,model_family
random80_20,in_distribution,Nuavg,U_only,0.95,0.9501084598698482,876,0.05197260871151897,0.1662357853701757,0.26156751406388407,0.08773835069561085,0.963554260444333,7.218495701023861,0.0033820362414762476,0.9996403043609067,ExtraTrees
random80_20,in_distribution,Nuavg,U_only,0.9,0.9002169197396963,830,0.04094114690103961,0.13654327638037056,0.2200467649601622,0.08093938554541044,0.7731762133487644,7.218495701023861,0.0031511432132087383,0.9997272261240499,ExtraTrees
random80_20,in_distribution,Nuavg,U_only,0.8,0.8004338394793926,738,0.030388045141515746,0.10917069885681686,0.18595601404687198,0.07229309654554089,0.5977005990981045,7.218495701023861,0.0074631372553989744,0.9997752455869324,ExtraTrees
random80_20,in_distribution,Nuavg,U_only,0.7,0.7006507592190889,646,0.02302454975656581,0.08645561996069845,0.14730254126646575,0.06183405159051093,0.46901200144680794,7.218495701023861,0.003689035104419998,0.9998318454917458,ExtraTrees
random80_20,in_distribution,Nuavg,D_only,0.95,0.9501084598698482,876,0.07260100202986666,0.23193376417857706,0.32175473903171403,0.09346694946879423,1.4573980510197817,7.218495701023861,0.002279689274547554,0.9993463346237642,ExtraTrees
random80_20,in_distribution,Nuavg,D_only,0.9,0.9002169197396963,830,0.0687671901861984,0.22054996846277655,0.3089448983845997,0.09164389494461592,1.411683712342641,7.218495701023861,0.0026679776403075654,0.9993963480941277,ExtraTrees
random80_20,in_distribution,Nuavg,D_only,0.8,0.8004338394793926,738,0.060567689436406696,0.19549426876702622,0.28778156129158144,0.0882227491940775,1.2424326087247122,7.218495701023861,0.004563995968158419,0.9995018900305824,ExtraTrees
random80_20,in_distribution,Nuavg,D_only,0.7,0.7006507592190889,646,0.05579415471532605,0.1825763290285888,0.26356030649582946,0.08260868176587564,1.0683719695066842,7.218495701023861,-0.0034156672876412743,0.9995773508252485,ExtraTrees
random80_20,in_distribution,Nuavg,V_only,0.95,0.9501084598698482,876,0.06640587840493402,0.219967038909202,0.30824711661154436,0.09403688774994293,1.409255994879894,7.218495701023861,0.009305561892699809,0.9993443072878883,ExtraTrees
random80_20,in_distribution,Nuavg,V_only,0.9,0.9002169197396963,830,0.062309464753021786,0.2089263202292416,0.2802109129507634,0.08957370142976466,1.1335639347541784,6.783543911197971,0.0034111088655243618,0.9994286482249944,ExtraTrees
random80_20,in_distribution,Nuavg,V_only,0.8,0.8004338394793926,738,0.05565600405952178,0.16700375508893028,0.25966801749283147,0.08632475168559026,0.9513583635880003,6.783543911197971,0.013464513413396282,0.9996243794295642,ExtraTrees
random80_20,in_distribution,Nuavg,V_only,0.7,0.7006507592190889,646,0.05631596649553624,0.17262102170808513,0.2552812485019414,0.0911818542326901,0.857561660606567,6.783543911197971,0.016295832962174846,0.9996253804137081,ExtraTrees
