Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,Nuavg,Nuavg_pred_RF,DelP_Pa,DelP_pred_RF
250,20,1e-06,0.8,0.2,0.2,5.0,20.659,20.6921253734217,866.75223,867.369126827993
250,20,1e-05,0.8,0.2,0.2,5.0,20.785,20.784776688717525,189.900716,189.821804271007
250,20,0.0001,0.8,0.2,0.2,5.0,20.841,20.828147433261215,104.912881,104.81285380857128
250,20,0.001,0.8,0.2,0.2,5.0,20.74,20.75237798484848,80.716712,80.70696940239398
