split_name,target,bin_low,bin_high,count,mean_score,empirical_failure_rate,model_family
holdout_G05,Nuavg,0.8,0.9,80,0.8561780479087844,0.0875,ExtraTrees
holdout_G05,Nuavg,0.9,1.0,531,0.9836362486701027,0.09227871939736347,ExtraTrees
holdout_G05,DelP_Pa,0.5,0.6000000000000001,67,0.5646160732392201,0.0,ExtraTrees
holdout_G05,DelP_Pa,0.6000000000000001,0.7000000000000001,60,0.6571600605500748,0.0,ExtraTrees
holdout_G05,DelP_Pa,0.7000000000000001,0.8,198,0.7497687905278605,0.0,ExtraTrees
holdout_G05,DelP_Pa,0.8,0.9,100,0.8540735222937954,0.0,ExtraTrees
holdout_G05,DelP_Pa,0.9,1.0,343,0.9747231807289333,0.0,ExtraTrees
holdout_G06,Nuavg,0.9,1.0,768,1.0,0.27734375,ExtraTrees
holdout_G06,DelP_Pa,0.9,1.0,768,1.0,0.7708333333333334,ExtraTrees
combined_G06_Re500,Nuavg,0.9,1.0,192,1.0,1.0,ExtraTrees
combined_G06_Re500,DelP_Pa,0.9,1.0,192,1.0,1.0,ExtraTrees
