split_name,target,score_method,coverage,n,MAE,RMSE,MAPE_pct,Median_APE_pct,P95_APE_pct,Max_APE_pct,Bias,R2,model_family
random80_20,Nuavg,U_only,0.0509761388286334,47,0.014785460992915006,0.028177885318820955,0.0974221839324094,0.026602819898693706,0.41998654291069865,0.7388024629395988,-0.0011244680851124173,0.9999820449756883,ExtraTrees
random80_20,Nuavg,U_only,0.10086767895878525,93,0.012032078853076918,0.022831752620390472,0.08083018115633481,0.023973916379485934,0.33174951347187065,0.7388024629395988,-0.0014306451613029373,0.9999886617399102,ExtraTrees
random80_20,Nuavg,U_only,0.15075921908893708,139,0.012082853717048408,0.0223027517542558,0.07810698751203869,0.027918478043847755,0.30194654889734873,0.7388024629395988,-0.0007852517985743241,0.9999878865045201,ExtraTrees
random80_20,Nuavg,U_only,0.20065075921908893,185,0.013267854054069862,0.028249617052127706,0.07949370963984242,0.03175964302190513,0.2581432109110772,0.7388024629395988,-0.0015168630630727408,0.9999794440930918,ExtraTrees
random80_20,Nuavg,U_only,0.25054229934924077,231,0.012938468975486022,0.026946900807807057,0.07791312398296849,0.028675205506540437,0.2766795610947362,0.7388024629395988,-0.001232264069268251,0.9999815366928337,ExtraTrees
random80_20,Nuavg,U_only,0.3004338394793926,277,0.012442205014281916,0.025571643769104313,0.07532098459602206,0.03193722054892158,0.24640081113007795,0.7388024629395988,-0.001444999616296608,0.9999827816255933,ExtraTrees
random80_20,Nuavg,U_only,0.35032537960954446,323,0.012491424843002877,0.024762124179586245,0.07969620187497342,0.031937393407913704,0.3214133167014596,0.7388024629395988,-0.0019823532168689846,0.9999841495747892,ExtraTrees
random80_20,Nuavg,U_only,0.4002169197396963,369,0.013128147884386855,0.024989425336417837,0.08658358709539304,0.03524202148192619,0.32842004578040834,0.8575055957742223,-0.0021403542981060803,0.9999838648168101,ExtraTrees
random80_20,Nuavg,U_only,0.45010845986984815,415,0.013348923208275432,0.024536318559400395,0.08919768074209555,0.04222972972891578,0.331274868867919,0.8575055957742223,-0.002000138382102594,0.9999843862879344,ExtraTrees
random80_20,Nuavg,U_only,0.5,461,0.015209941089983359,0.0321972214750237,0.1019617307595214,0.050345429490236106,0.34331867729240845,1.5884921371585519,-0.0016147086288636995,0.9999733217848515,ExtraTrees
