split_name,family,target,score_method,coverage_target,actual_coverage,n,MAE,RMSE,MAPE_pct,Median_APE_pct,P95_APE_pct,Max_APE_pct,Bias,R2
random80_20,in_distribution,Nuavg,U_only,0.95,0.9501084598698482,876,0.08631199805377279,0.18679476474932916,0.44674144977526437,0.2625256616491675,1.3128716377590424,6.325682605790914,0.009743123813089177,0.9995776907771868
random80_20,in_distribution,Nuavg,U_only,0.9,0.9002169197396963,830,0.07963458277506998,0.16172724611272551,0.4098436458307396,0.2555346297720017,1.217041578105914,5.652314349697223,0.0016548901091426379,0.9996886429856683
random80_20,in_distribution,Nuavg,U_only,0.8,0.8004338394793926,738,0.07497862518021081,0.15711726397483153,0.36839884674690626,0.2464737531892709,1.014076169714164,5.652314349697223,0.00030197624268572375,0.9997204698490885
random80_20,in_distribution,Nuavg,U_only,0.7,0.7006507592190889,646,0.06842598009611431,0.12303717673282856,0.3430665198122131,0.2436741799593405,0.956320914493247,2.396478204106852,-0.0032458183501157677,0.9998281678877513
random80_20,in_distribution,Nuavg,D_only,0.95,0.9501084598698482,876,0.10239104739846704,0.25801673485282,0.5054438951687273,0.2735799603454781,1.8151251131839452,6.325682605790914,-0.0034088959976962523,0.9991910470208231
random80_20,in_distribution,Nuavg,D_only,0.9,0.9002169197396963,830,0.09654124528815948,0.23340662763950618,0.48174813975316677,0.2635028701872968,1.5722410749811335,6.325682605790914,-0.0022623332287891587,0.9993239186690132
random80_20,in_distribution,Nuavg,D_only,0.8,0.8004338394793926,738,0.08326942954955062,0.1760731368796139,0.43213408157471506,0.2510192460758405,1.3647536894232388,5.652314349697223,0.003568310976933056,0.9995959423092449
random80_20,in_distribution,Nuavg,D_only,0.7,0.7006507592190889,646,0.08380858795827385,0.17803683099662992,0.42819714681207827,0.24981197417647358,1.306236885958333,5.652314349697223,0.002673041569854509,0.9995981066735399
random80_20,in_distribution,Nuavg,V_only,0.95,0.9501084598698482,876,0.08716494255065917,0.19042056814615155,0.47033989454290187,0.2635028701872968,1.5907448836916396,6.325682605790914,0.013371098357248548,0.9995086252310333
random80_20,in_distribution,Nuavg,V_only,0.9,0.9002169197396963,830,0.08352075462249388,0.18779311339570856,0.43712967372826755,0.2549984953219342,1.3426874995415228,6.325682605790914,0.009168870838578959,0.9995383885265712
random80_20,in_distribution,Nuavg,V_only,0.8,0.8004338394793926,738,0.07841081316154501,0.18165192783516712,0.4053140951325716,0.24752684076450482,1.2156663059694135,6.325682605790914,0.009145895983274728,0.9995555970658272
random80_20,in_distribution,Nuavg,V_only,0.7,0.7006507592190889,646,0.08349324034463508,0.19256680887039557,0.4250259902781372,0.2567400210239361,1.272811679211186,6.325682605790914,0.01074369894919382,0.9995338067496468
random80_20,in_distribution,Nuavg,U_plus_D,0.95,0.9501084598698482,876,0.08525717631823393,0.1738234240416246,0.4470350978998134,0.2627483779343321,1.3329973354960862,5.652314349697223,0.002639644986853763,0.9996360772472663
