model_family,split_name,split,split_family,target,n_cases,n_retained,n_abstain,n_failed,retained_cov_pct,abstain_cov_pct,MAPE_all_pct,MAPE_retained_pct,failure_all_pct,failure_retained_pct,false_accept_n,false_accept_pct_all,false_abstain_n,false_abstain_pct_all,bias_pct
XGBoost,random80_20,Random 80/20,Random 80/20,Nuavg,922,789,133,7,85.57483731019524,14.425162689804772,0.5153089631954141,0.42797695205410624,0.7592190889370932,0.25348542458808615,2,0.21691973969631237,128,13.882863340563992,0.0536676724113939
XGBoost,holdout_Re25,Holdout Re=25,Withheld Reynolds,DelP_Pa,1152,0,1152,1152,0.0,100.0,331.44663899580064,,100.0,,0,0.0,0,0.0,331.44663899580064
XGBoost,holdout_Re25,Holdout Re=25,Withheld Reynolds,Nuavg,1152,0,1152,1152,0.0,100.0,39.873113392472774,,100.0,,0,0.0,0,0.0,39.873113392472774
XGBoost,holdout_Re100,Holdout Re=100,Withheld Reynolds,DelP_Pa,1152,188,964,1152,16.319444444444446,83.68055555555556,76.77215299759578,76.66736459996669,100.0,100.0,188,16.319444444444446,0,0.0,-76.77215299759578
XGBoost,holdout_Re100,Holdout Re=100,Withheld Reynolds,Nuavg,1152,189,963,1152,16.40625,83.59375,27.917541459144594,22.56474210178048,100.0,100.0,189,16.40625,0,0.0,-27.917541459144594
XGBoost,holdout_Re250,Holdout Re=250,Withheld Reynolds,DelP_Pa,1152,1105,47,1152,95.92013888888889,4.079861111111112,65.12846587739442,65.13452292771784,100.0,100.0,1105,95.92013888888889,0,0.0,-65.12846587739442
XGBoost,holdout_Re250,Holdout Re=250,Withheld Reynolds,Nuavg,1152,1108,44,1152,96.18055555555556,3.8194444444444446,23.97226201168336,23.851166217956838,100.0,100.0,1108,96.18055555555556,0,0.0,-23.97226201168336
XGBoost,holdout_Re500,Holdout Re=500,Withheld Reynolds,DelP_Pa,1152,187,965,1152,16.23263888888889,83.76736111111111,58.37050169214336,58.26622625115632,100.0,100.0,187,16.23263888888889,0,0.0,-58.37050169214336
XGBoost,holdout_Re500,Holdout Re=500,Withheld Reynolds,Nuavg,1152,186,966,1152,16.145833333333336,83.85416666666666,22.25554962522673,18.484615419195208,100.0,100.0,186,16.145833333333336,0,0.0,-22.25554962522673
XGBoost,holdout_G01,Holdout G01,Withheld geometry,DelP_Pa,768,0,768,27,0.0,100.0,4.77728928559319,,3.515625,,0,0.0,741,96.484375,4.7772892855931905
XGBoost,holdout_G01,Holdout G01,Withheld geometry,Nuavg,768,0,768,107,0.0,100.0,2.7016054748301497,,13.932291666666666,,0,0.0,661,86.06770833333334,-2.7016054748301492
