split_name,target,coverage_target,actual_coverage,MAPE_pct,RMSE,R2
combined_G06_Re500,DelP_Pa,0.95,0.953125,68.68485591456812,795.6439460800808,0.409602002985445
combined_G06_Re500,DelP_Pa,0.9,0.9010416666666666,68.87096909430264,784.8648315141054,0.4175456760266619
combined_G06_Re500,DelP_Pa,0.8,0.8020833333333334,68.4969714409252,821.4176098280057,0.4193353555832952
combined_G06_Re500,DelP_Pa,0.7,0.703125,68.85973944283091,776.5994203211726,0.4080515437501217
combined_G06_Re500,Nuavg,0.95,0.953125,28.242726146253197,11.38357829447096,0.2678954422112858
combined_G06_Re500,Nuavg,0.9,0.9010416666666666,27.29673547713086,10.359361330532414,0.2942248311739237
combined_G06_Re500,Nuavg,0.8,0.8020833333333334,25.308462487498332,8.040087128965169,0.3039789376674634
combined_G06_Re500,Nuavg,0.7,0.703125,23.507149323693483,6.251271865655379,0.2421313080751432
holdout_Re500,DelP_Pa,0.95,0.9505208333333334,58.41216148211841,697.6824151045222,0.5484007920709743
holdout_Re500,DelP_Pa,0.9,0.9001736111111112,58.240732150888405,708.7104658255709,0.550505243855517
holdout_Re500,DelP_Pa,0.8,0.8003472222222222,58.12808309427991,689.4992901051567,0.5592764381163602
holdout_Re500,DelP_Pa,0.7,0.7005208333333334,58.07755957151583,689.1748818948179,0.560045761453116
holdout_Re500,Nuavg,0.95,0.9505208333333334,22.02752412909304,6.974321258486172,0.5751893722026007
holdout_Re500,Nuavg,0.9,0.9001736111111112,21.620178383015755,6.779097446702757,0.6006194301083556
holdout_Re500,Nuavg,0.8,0.8003472222222222,21.641626689856235,6.901024152989949,0.5832159015166767
holdout_Re500,Nuavg,0.7,0.7005208333333334,21.901891918538368,7.11842501775736,0.5872820031632274
random80_20,DelP_Pa,0.95,0.9501084598698482,0.3867686915563392,3.3475831134203733,0.9999709798242457
random80_20,DelP_Pa,0.9,0.9002169197396963,0.3483037266346119,3.132920258174093,0.9999747881112736
random80_20,DelP_Pa,0.8,0.8004338394793926,0.3318148175580752,3.032186023788459,0.999975644682632
random80_20,DelP_Pa,0.7,0.7006507592190889,0.3108939063120162,2.563404686044312,0.999981269573584
random80_20,Nuavg,0.95,0.9501084598698482,0.467619835116614,0.1892693016494925,0.9995573625933348
random80_20,Nuavg,0.9,0.9002169197396963,0.4529041557890082,0.1878820915969561,0.9995409427599397
random80_20,Nuavg,0.8,0.8004338394793926,0.4043360988566405,0.1635322106419545,0.999650449136055
random80_20,Nuavg,0.7,0.7006507592190889,0.3796571726305374,0.1632222621750148,0.9996652481005284
