variable,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,Nuavg,DelP_Pa
Re,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6858207711264638,0.7697290842522354
Pr,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6829496764683671,6.799809390867921e-05
Da,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.028716710366238143,-0.4965600205718543
epsi,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.002037680491613711,-0.008523984235556663
Hp_mm,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15297525986422547,0.2975555021987869
a_mm,0.0,0.0,0.0,0.0,0.0,1.0,0.3178208630818641,-0.045921052042616844,0.08544394773188171
Lw_mm,0.0,0.0,0.0,0.0,0.0,0.3178208630818641,1.0,-0.013671794051737155,0.009434992096452087
Nuavg,0.6858207711264638,0.6829496764683671,-0.028716710366238143,-0.002037680491613711,0.15297525986422547,-0.045921052042616844,-0.013671794051737155,1.0,0.5868194174250193
DelP_Pa,0.7697290842522354,6.799809390867921e-05,-0.4965600205718543,-0.008523984235556663,0.2975555021987869,0.08544394773188171,0.009434992096452087,0.5868194174250193,1.0
