split_family,target,q_predict,q_warn,n_cases,n_predict,n_warn,n_abstain,coverage_predict_or_warn_pct,MAPE_all_pct,MAPE_predict_or_warn_pct,failure_rate_all_pct,failure_rate_predict_or_warn_pct
combined_shift,DelP_Pa,0.7,0.85,192,0,0,192,0.0,68.18438106348701,,100.0,
combined_shift,DelP_Pa,0.75,0.9,192,0,0,192,0.0,68.18438106348701,,100.0,
combined_shift,DelP_Pa,0.8,0.9,192,0,0,192,0.0,68.18438106348701,,100.0,
combined_shift,DelP_Pa,0.85,0.95,192,0,0,192,0.0,68.18438106348701,,100.0,
combined_shift,Nuavg,0.7,0.85,192,0,0,192,0.0,29.005076624094272,,100.0,
combined_shift,Nuavg,0.75,0.9,192,0,0,192,0.0,29.005076624094272,,100.0,
combined_shift,Nuavg,0.8,0.9,192,0,0,192,0.0,29.005076624094272,,100.0,
combined_shift,Nuavg,0.85,0.95,192,0,0,192,0.0,29.005076624094272,,100.0,
in_distribution,DelP_Pa,0.7,0.85,922,629,153,140,84.81561822125813,0.4313515115793473,0.3365066668159611,0.0,0.0
in_distribution,DelP_Pa,0.75,0.9,922,683,113,126,86.33405639913232,0.4313515115793473,0.33840589055613157,0.0,0.0
in_distribution,DelP_Pa,0.8,0.9,922,718,78,126,86.33405639913232,0.4313515115793473,0.33840589055613157,0.0,0.0
in_distribution,DelP_Pa,0.85,0.95,922,782,14,126,86.33405639913232,0.4313515115793473,0.33840589055613157,0.0,0.0
in_distribution,Nuavg,0.7,0.85,922,620,153,149,83.83947939262472,0.5153089631954141,0.41738092946092,0.7592190889370932,0.129366106080207
in_distribution,Nuavg,0.75,0.9,922,674,115,133,85.57483731019522,0.5153089631954141,0.42797695205410624,0.7592190889370932,0.25348542458808615
in_distribution,Nuavg,0.8,0.9,922,716,73,133,85.57483731019522,0.5153089631954141,0.42797695205410624,0.7592190889370932,0.25348542458808615
in_distribution,Nuavg,0.85,0.95,922,773,16,133,85.57483731019522,0.5153089631954141,0.42797695205410624,0.7592190889370932,0.25348542458808615
withheld_geometry,DelP_Pa,0.7,0.85,4608,1368,712,2528,45.138888888888886,4.614543569689839,0.981436009198892,13.433159722222221,0.0
withheld_geometry,DelP_Pa,0.75,0.9,4608,1566,664,2378,48.39409722222222,4.614543569689839,0.9589008095746466,13.433159722222221,0.0
withheld_geometry,DelP_Pa,0.8,0.9,4608,1738,492,2378,48.39409722222222,4.614543569689839,0.9589008095746466,13.433159722222221,0.0
withheld_geometry,DelP_Pa,0.85,0.95,4608,2080,150,2378,48.39409722222222,4.614543569689839,0.9589008095746466,13.433159722222221,0.0
withheld_geometry,Nuavg,0.7,0.85,4608,996,633,2979,35.3515625,2.396925918600629,1.6440661857824934,13.020833333333334,6.998158379373849
withheld_geometry,Nuavg,0.75,0.9,4608,1175,587,2846,38.23784722222222,2.396925918600629,1.6009409474581513,13.020833333333334,6.81044267877412
withheld_geometry,Nuavg,0.8,0.9,4608,1389,373,2846,38.23784722222222,2.396925918600629,1.6009409474581513,13.020833333333334,6.81044267877412
withheld_geometry,Nuavg,0.85,0.95,4608,1629,133,2846,38.23784722222222,2.396925918600629,1.6009409474581513,13.020833333333334,6.81044267877412
withheld_reynolds,DelP_Pa,0.7,0.85,4608,921,502,3185,30.88107638888889,132.92943989073353,65.59329974856479,100.0,100.0
withheld_reynolds,DelP_Pa,0.75,0.9,4608,984,496,3128,32.11805555555556,132.92943989073353,65.73168695195149,100.0,100.0
withheld_reynolds,DelP_Pa,0.8,0.9,4608,1009,471,3128,32.11805555555556,132.92943989073353,65.73168695195149,100.0,100.0
withheld_reynolds,DelP_Pa,0.85,0.95,4608,1423,57,3128,32.11805555555556,132.92943989073353,65.73168695195149,100.0,100.0
withheld_reynolds,Nuavg,0.7,0.85,4608,917,506,3185,30.88107638888889,28.504616622131866,23.0267137300276,100.0,100.0
withheld_reynolds,Nuavg,0.75,0.9,4608,984,499,3125,32.18315972222222,28.504616622131866,23.014138162308154,100.0,100.0
withheld_reynolds,Nuavg,0.8,0.9,4608,1005,478,3125,32.18315972222222,28.504616622131866,23.014138162308154,100.0,100.0
withheld_reynolds,Nuavg,0.85,0.95,4608,1423,60,3125,32.18315972222222,28.504616622131866,23.014138162308154,100.0,100.0
