split_name,family,target,score_method,tolerance_pct,failure_rate,failure_AUROC,failure_AUPRC,AURC_MAPE_pct,full_MAE,full_RMSE,full_MAPE_pct,full_R2
random80_20,in_distribution,Nuavg,U_only,5.0,0.007592190889370932,0.92903981264637,0.07708003760001833,0.33852660820298636,0.10686868134041409,0.27484952615171765,0.5153089631954142,0.9991546592648101
random80_20,in_distribution,Nuavg,D_only,5.0,0.007592190889370932,0.7405932864949257,0.01754717963058909,0.38446692129778753,0.10686868134041409,0.27484952615171765,0.5153089631954142,0.9991546592648101
random80_20,in_distribution,Nuavg,V_only,5.0,0.007592190889370932,0.5,0.007592190889370932,0.45890045799507917,0.10686868134041409,0.27484952615171765,0.5153089631954142,0.9991546592648101
random80_20,in_distribution,Nuavg,U_plus_D,5.0,0.007592190889370932,0.9011709601873537,0.06926395423514274,0.3325402805128324,0.10686868134041409,0.27484952615171765,0.5153089631954142,0.9991546592648101
random80_20,in_distribution,Nuavg,U_plus_V,5.0,0.007592190889370932,0.92903981264637,0.07708003760001833,0.33852660820298636,0.10686868134041409,0.27484952615171765,0.5153089631954142,0.9991546592648101
random80_20,in_distribution,Nuavg,D_plus_V,5.0,0.007592190889370932,0.7405932864949257,0.01754717963058909,0.38446692129778753,0.10686868134041409,0.27484952615171765,0.5153089631954142,0.9991546592648101
random80_20,in_distribution,Nuavg,U_plus_D_plus_V,5.0,0.007592190889370932,0.9011709601873537,0.06926395423514274,0.3325402805128324,0.10686868134041409,0.27484952615171765,0.5153089631954142,0.9991546592648101
random80_20,in_distribution,Nuavg,U_2D_plus_V,5.0,0.007592190889370932,0.8800936768149882,0.059375988174981534,0.3429429052377783,0.10686868134041409,0.27484952615171765,0.5153089631954142,0.9991546592648101
random80_20,in_distribution,Nuavg,conservative_U_D_V_max,5.0,0.007592190889370932,0.8321623731459796,0.0347376458911346,0.35743105847928053,0.10686868134041409,0.27484952615171765,0.5153089631954142,0.9991546592648101
random80_20,in_distribution,Nuavg,learned_logistic_gate,5.0,0.007592190889370932,0.9308352849336456,0.09420297708425214,0.3434181256812545,0.10686868134041409,0.27484952615171765,0.5153089631954142,0.9991546592648101
random80_20,in_distribution,Nuavg,oracle_error_rank,5.0,0.007592190889370932,1.0,1.0,0.16692931100235933,0.10686868134041409,0.27484952615171765,0.5153089631954142,0.9991546592648101
random80_20,in_distribution,Nuavg,random_rejection,5.0,0.007592190889370932,0.463856362217018,0.028044935867285903,0.5113296816644218,0.10686868134041409,0.27484952615171765,0.5153089631954142,0.9991546592648101
random80_20,in_distribution,DelP_Pa,U_only,10.0,0.0,,,0.26959369044533765,1.3587995241502202,4.563182946611912,0.4313515115793473,0.9999505136736601
