model_family,split_name,split,split_family,target,n_abstain,U_alarm_pct,D_alarm_pct,V_alarm_pct,multi_alarm_pct,U_max_driver_pct,D_max_driver_pct,V_max_driver_pct
XGBoost,holdout_Re500,Holdout Re=500,Withheld Reynolds,DelP_Pa,965,0.6217616580310881,100.0,0.0,0.6217616580310881,0.6217616580310881,100.0,0.0
XGBoost,holdout_Re500,Holdout Re=500,Withheld Reynolds,Nuavg,966,1.9668737060041408,99.89648033126294,0.0,1.8633540372670807,1.9668737060041408,99.89648033126294,0.0
XGBoost,holdout_G01,Holdout G01,Withheld geometry,DelP_Pa,768,0.26041666666666663,100.0,0.0,0.26041666666666663,0.26041666666666663,100.0,0.0
XGBoost,holdout_G01,Holdout G01,Withheld geometry,Nuavg,768,1.0416666666666665,100.0,0.0,1.0416666666666665,1.0416666666666665,100.0,0.0
XGBoost,holdout_G02,Holdout G02,Withheld geometry,DelP_Pa,115,36.52173913043478,77.39130434782608,0.0,13.91304347826087,36.52173913043478,77.39130434782608,0.0
XGBoost,holdout_G02,Holdout G02,Withheld geometry,Nuavg,318,77.9874213836478,27.9874213836478,0.0,5.9748427672955975,77.9874213836478,27.9874213836478,0.0
XGBoost,holdout_G03,Holdout G03,Withheld geometry,DelP_Pa,359,14.763231197771587,93.59331476323119,0.0,8.356545961002785,14.763231197771587,93.59331476323119,0.0
XGBoost,holdout_G03,Holdout G03,Withheld geometry,Nuavg,408,39.950980392156865,82.35294117647058,0.0,22.30392156862745,39.950980392156865,82.35294117647058,0.0
XGBoost,holdout_G04,Holdout G04,Withheld geometry,DelP_Pa,117,49.572649572649574,58.97435897435898,0.0,8.547008547008547,49.572649572649574,58.97435897435898,0.0
XGBoost,holdout_G04,Holdout G04,Withheld geometry,Nuavg,325,86.46153846153845,21.23076923076923,0.0,7.6923076923076925,86.46153846153845,21.23076923076923,0.0
XGBoost,holdout_G05,Holdout G05,Withheld geometry,DelP_Pa,251,40.23904382470119,76.49402390438247,0.0,16.733067729083665,40.23904382470119,76.49402390438247,0.0
XGBoost,holdout_G05,Holdout G05,Withheld geometry,Nuavg,259,38.996138996138995,74.13127413127413,0.0,13.127413127413126,38.996138996138995,74.13127413127413,0.0
XGBoost,holdout_G06,Holdout G06,Withheld geometry,DelP_Pa,768,0.13020833333333331,100.0,0.0,0.13020833333333331,0.13020833333333331,100.0,0.0
XGBoost,holdout_G06,Holdout G06,Withheld geometry,Nuavg,768,2.083333333333333,100.0,0.0,2.083333333333333,2.083333333333333,100.0,0.0
XGBoost,combined_G06_Re500,Combined G06/Re500,Combined G06/Re500,DelP_Pa,192,0.0,100.0,0.0,0.0,0.0,100.0,0.0
XGBoost,combined_G06_Re500,Combined G06/Re500,Combined G06/Re500,Nuavg,192,5.729166666666666,100.0,0.0,5.729166666666666,5.729166666666666,100.0,0.0
