split_name,split_family,target,q_predict,q_warn,n_cases,n_predict,n_warn,n_abstain,coverage_predict_or_warn_pct,MAPE_all_pct,MAPE_predict_or_warn_pct,failure_rate_all_pct,failure_rate_predict_or_warn_pct
holdout_G04,withheld_geometry,Nuavg,0.85,0.95,768,432,11,325,57.682291666666664,2.4443992167897064,2.4131554980205325,13.802083333333334,12.18961625282167
holdout_G05,withheld_geometry,DelP_Pa,0.7,0.85,768,290,201,277,63.932291666666664,1.331521861996506,1.2942175598453183,0.0,0.0
holdout_G05,withheld_geometry,DelP_Pa,0.75,0.9,768,318,199,251,67.31770833333334,1.331521861996506,1.2954941111325489,0.0,0.0
holdout_G05,withheld_geometry,DelP_Pa,0.8,0.9,768,377,140,251,67.31770833333334,1.331521861996506,1.2954941111325489,0.0,0.0
holdout_G05,withheld_geometry,DelP_Pa,0.85,0.95,768,491,26,251,67.31770833333334,1.331521861996506,1.2954941111325489,0.0,0.0
holdout_G05,withheld_geometry,Nuavg,0.7,0.85,768,264,225,279,63.671875,2.1560472781228377,2.125873035681014,10.9375,9.611451942740286
holdout_G05,withheld_geometry,Nuavg,0.75,0.9,768,336,173,259,66.27604166666666,2.1560472781228377,2.1202295075864153,10.9375,9.823182711198427
holdout_G05,withheld_geometry,Nuavg,0.8,0.9,768,427,82,259,66.27604166666666,2.1560472781228377,2.1202295075864153,10.9375,9.823182711198427
holdout_G05,withheld_geometry,Nuavg,0.85,0.95,768,489,20,259,66.27604166666666,2.1560472781228377,2.1202295075864153,10.9375,9.823182711198427
holdout_G06,withheld_geometry,DelP_Pa,0.7,0.85,768,0,0,768,0.0,19.17962055856702,,77.08333333333334,
holdout_G06,withheld_geometry,DelP_Pa,0.75,0.9,768,0,0,768,0.0,19.17962055856702,,77.08333333333334,
holdout_G06,withheld_geometry,DelP_Pa,0.8,0.9,768,0,0,768,0.0,19.17962055856702,,77.08333333333334,
holdout_G06,withheld_geometry,DelP_Pa,0.85,0.95,768,0,0,768,0.0,19.17962055856702,,77.08333333333334,
holdout_G06,withheld_geometry,Nuavg,0.7,0.85,768,0,0,768,0.0,4.773732123461688,,27.604166666666668,
holdout_G06,withheld_geometry,Nuavg,0.75,0.9,768,0,0,768,0.0,4.773732123461688,,27.604166666666668,
holdout_G06,withheld_geometry,Nuavg,0.8,0.9,768,0,0,768,0.0,4.773732123461688,,27.604166666666668,
holdout_G06,withheld_geometry,Nuavg,0.85,0.95,768,0,0,768,0.0,4.773732123461688,,27.604166666666668,
holdout_Re100,withheld_reynolds,DelP_Pa,0.7,0.85,1152,0,156,996,13.541666666666666,76.77215299759578,76.64724914162325,100.0,100.0
holdout_Re100,withheld_reynolds,DelP_Pa,0.75,0.9,1152,0,188,964,16.319444444444446,76.77215299759578,76.66736459996669,100.0,100.0
holdout_Re100,withheld_reynolds,DelP_Pa,0.8,0.9,1152,0,188,964,16.319444444444446,76.77215299759578,76.66736459996669,100.0,100.0
holdout_Re100,withheld_reynolds,DelP_Pa,0.85,0.95,1152,156,32,964,16.319444444444446,76.77215299759578,76.66736459996669,100.0,100.0
holdout_Re100,withheld_reynolds,Nuavg,0.7,0.85,1152,0,156,996,13.541666666666666,27.917541459144594,22.492203067672374,100.0,100.0
holdout_Re100,withheld_reynolds,Nuavg,0.75,0.9,1152,0,189,963,16.40625,27.917541459144594,22.56474210178048,100.0,100.0
holdout_Re100,withheld_reynolds,Nuavg,0.8,0.9,1152,0,189,963,16.40625,27.917541459144594,22.56474210178048,100.0,100.0
holdout_Re100,withheld_reynolds,Nuavg,0.85,0.95,1152,156,33,963,16.40625,27.917541459144594,22.56474210178048,100.0,100.0
holdout_Re25,withheld_reynolds,DelP_Pa,0.7,0.85,1152,0,0,1152,0.0,331.44663899580064,,100.0,
holdout_Re25,withheld_reynolds,DelP_Pa,0.75,0.9,1152,0,0,1152,0.0,331.44663899580064,,100.0,
holdout_Re25,withheld_reynolds,DelP_Pa,0.8,0.9,1152,0,0,1152,0.0,331.44663899580064,,100.0,
holdout_Re25,withheld_reynolds,DelP_Pa,0.85,0.95,1152,0,0,1152,0.0,331.44663899580064,,100.0,
holdout_Re25,withheld_reynolds,Nuavg,0.7,0.85,1152,0,0,1152,0.0,39.873113392472774,,100.0,
holdout_Re25,withheld_reynolds,Nuavg,0.75,0.9,1152,0,0,1152,0.0,39.873113392472774,,100.0,
holdout_Re25,withheld_reynolds,Nuavg,0.8,0.9,1152,0,0,1152,0.0,39.873113392472774,,100.0,
holdout_Re25,withheld_reynolds,Nuavg,0.85,0.95,1152,0,0,1152,0.0,39.873113392472774,,100.0,
holdout_Re250,withheld_reynolds,DelP_Pa,0.7,0.85,1152,921,175,56,95.13888888888889,65.12846587739442,65.13052227764118,100.0,100.0
holdout_Re250,withheld_reynolds,DelP_Pa,0.75,0.9,1152,984,121,47,95.92013888888889,65.12846587739442,65.13452292771784,100.0,100.0
holdout_Re250,withheld_reynolds,DelP_Pa,0.8,0.9,1152,1009,96,47,95.92013888888889,65.12846587739442,65.13452292771784,100.0,100.0
holdout_Re250,withheld_reynolds,DelP_Pa,0.85,0.95,1152,1096,9,47,95.92013888888889,65.12846587739442,65.13452292771784,100.0,100.0
