split_name,target,feature,importance
holdout_G03,Nuavg,Pr,0.546924090385437
holdout_G03,Nuavg,Re,0.41674416661262514
holdout_G03,Nuavg,Hp_mm,0.020809242874383925
holdout_G03,Nuavg,a_mm,0.010156647115945817
holdout_G03,Nuavg,Lw_mm,0.002902334090322256
holdout_G03,Nuavg,Da,0.0019273699959740042
holdout_G03,Nuavg,epsi,0.0005361886753235013
holdout_G03,DelP_Pa,Re,0.6267071604728699
holdout_G03,DelP_Pa,Da,0.27172563672065736
holdout_G03,DelP_Pa,Hp_mm,0.09431523382663727
holdout_G03,DelP_Pa,a_mm,0.006378541234880686
holdout_G03,DelP_Pa,Lw_mm,0.0004968936962541192
holdout_G03,DelP_Pa,Pr,0.00020107657182961703
holdout_G03,DelP_Pa,epsi,0.00017545048613101243
holdout_G04,Nuavg,Pr,0.5305574178695679
holdout_G04,Nuavg,Re,0.43799408078193663
holdout_G04,Nuavg,Hp_mm,0.017989835888147353
holdout_G04,Nuavg,a_mm,0.009324062801897525
holdout_G04,Nuavg,Lw_mm,0.001734291692264378
holdout_G04,Nuavg,Da,0.0015254149446263909
holdout_G04,Nuavg,epsi,0.0008748379768803716
holdout_G04,DelP_Pa,Re,0.6343449115753174
holdout_G04,DelP_Pa,Da,0.26539897322654726
holdout_G04,DelP_Pa,Hp_mm,0.09270555377006531
holdout_G04,DelP_Pa,a_mm,0.0067527366802096365
holdout_G04,DelP_Pa,Lw_mm,0.0003280203411122784
holdout_G04,DelP_Pa,epsi,0.0002502567629562691
holdout_G04,DelP_Pa,Pr,0.0002196103218011558
holdout_G05,Nuavg,Pr,0.5234382212162018
holdout_G05,Nuavg,Re,0.4463790237903595
holdout_G05,Nuavg,Hp_mm,0.017511354759335518
holdout_G05,Nuavg,a_mm,0.00929308608174324
holdout_G05,Nuavg,Da,0.0021171085303649307
holdout_G05,Nuavg,Lw_mm,0.0009338930365629494
holdout_G05,Nuavg,epsi,0.0003272544709034264
holdout_G05,DelP_Pa,Re,0.6250037550926208
holdout_G05,DelP_Pa,Da,0.27543575763702394
holdout_G05,DelP_Pa,Hp_mm,0.09144771248102188
holdout_G05,DelP_Pa,a_mm,0.007283348590135574
holdout_G05,DelP_Pa,Lw_mm,0.0003249173634685576
holdout_G05,DelP_Pa,epsi,0.00027441817510407416
holdout_G05,DelP_Pa,Pr,0.00023009544820524753
holdout_G06,Nuavg,Pr,0.5194183051586151
holdout_G06,Nuavg,Re,0.45641828775405885
holdout_G06,Nuavg,Hp_mm,0.017770871892571448
holdout_G06,Nuavg,a_mm,0.003652188088744879
holdout_G06,Nuavg,Da,0.0011583846295252441
holdout_G06,Nuavg,Lw_mm,0.001119275693781674
holdout_G06,Nuavg,epsi,0.00046267478028312327
holdout_G06,DelP_Pa,Re,0.6183222651481628
holdout_G06,DelP_Pa,Da,0.28990097641944884
holdout_G06,DelP_Pa,Hp_mm,0.08916103541851043
holdout_G06,DelP_Pa,a_mm,0.001987133175134659
holdout_G06,DelP_Pa,Pr,0.00022104097297415137
holdout_G06,DelP_Pa,epsi,0.00020791628921870142
holdout_G06,DelP_Pa,Lw_mm,0.00019956027972511947
combined_G06_Re500,Nuavg,Pr,0.5563860297203064
combined_G06_Re500,Nuavg,Re,0.4221759557723999
combined_G06_Re500,Nuavg,Hp_mm,0.01649348232895136
combined_G06_Re500,Nuavg,a_mm,0.002716005127876997
combined_G06_Re500,Nuavg,Da,0.0011217400431632995
combined_G06_Re500,Nuavg,Lw_mm,0.0007969858823344111
combined_G06_Re500,Nuavg,epsi,0.0003098381159361452
combined_G06_Re500,DelP_Pa,Re,0.515506899356842
combined_G06_Re500,DelP_Pa,Da,0.37710863947868345
combined_G06_Re500,DelP_Pa,Hp_mm,0.10522677600383759
combined_G06_Re500,DelP_Pa,a_mm,0.0016330166952684521
combined_G06_Re500,DelP_Pa,Lw_mm,0.0001789586211089045
combined_G06_Re500,DelP_Pa,epsi,0.0001731430587824434
combined_G06_Re500,DelP_Pa,Pr,0.00017262734472751619
