split_name,target,score_method,coverage,n,MAE,RMSE,MAPE_pct,Median_APE_pct,P95_APE_pct,Max_APE_pct,Bias,R2
random80_20,Nuavg,U_only,0.0509761388286334,47,0.055626428352518416,0.09023037054852605,0.2777415038038694,0.21006385404953076,0.7643465042788637,1.2864409750822117,-0.009174474902863229,0.9998781642446278
random80_20,Nuavg,U_only,0.10086767895878525,93,0.05747361837407613,0.08764591621499912,0.2807759198702985,0.21006385404953076,0.7419203575738058,1.2864409750822117,-0.00767123219479796,0.9999086589735832
random80_20,Nuavg,U_only,0.15075921908893708,139,0.05874476904560344,0.09476603457993585,0.28071752665043137,0.20867997195151322,0.7610885072527542,1.2864409750822117,-0.012927211668165461,0.9998933374478549
random80_20,Nuavg,U_only,0.20065075921908893,185,0.06130616263724668,0.10363443469498092,0.2891148371406985,0.20867997195151322,0.7859271424703319,1.824736479640282,-0.007272421149176511,0.999864579186742
random80_20,Nuavg,U_only,0.25054229934924077,231,0.06105246142102524,0.10044063705039333,0.29360147002344467,0.21841835583105434,0.8068981726948707,1.824736479640282,-0.007607751147777974,0.9998728998931492
random80_20,Nuavg,U_only,0.3004338394793926,277,0.06252323681111799,0.10046643584370912,0.30592031547461385,0.22442560833606087,0.8323322215127733,1.824736479640282,-0.006026207482513478,0.9998800384028226
random80_20,Nuavg,U_only,0.35032537960954446,323,0.06324408381317423,0.10613204879151109,0.30488716656802783,0.22059659272926302,0.8281010388965424,1.8419027884933088,-0.004018928901034547,0.9998728887110196
random80_20,Nuavg,U_only,0.4002169197396963,369,0.06713253472801148,0.11447507184251048,0.3234278143589647,0.2279185105262216,0.8624916002358836,1.8419027884933088,-0.008195601982798954,0.9998555665535614
random80_20,Nuavg,U_only,0.45010845986984815,415,0.06855723099306404,0.1257701463893391,0.3250667663179495,0.22593496738081265,0.9127076524697674,1.9102631419471598,-0.009895331056893567,0.9998289060993709
random80_20,Nuavg,U_only,0.5,461,0.06750035011142555,0.12232593520757677,0.3246474221927191,0.22593496738081265,0.8698540812277287,1.9102631419471598,-0.007577548575246143,0.9998311176481746
random80_20,Nuavg,U_only,0.5509761388286334,508,0.06646182992890122,0.1192854419808045,0.3222971097846453,0.2278894489511869,0.8679991271394142,1.9102631419471598,-0.006911527114027097,0.9998362958625266
random80_20,Nuavg,U_only,0.6008676789587852,554,0.0670152776284338,0.11827292382386753,0.3317367932824956,0.23244275106287238,0.9146966151819174,2.396478204106852,-0.0069444622549339,0.999837378785948
random80_20,Nuavg,U_only,0.6507592190889371,600,0.06668240451304117,0.11815450470303557,0.3330354895353909,0.23652637148229677,0.9027628389090309,2.396478204106852,-0.004658312436421687,0.9998337486543438
random80_20,Nuavg,U_only,0.7006507592190889,646,0.06842598009611431,0.12303717673282856,0.3430665198122131,0.2436741799593405,0.956320914493247,2.396478204106852,-0.0032458183501157677,0.9998281678877513
random80_20,Nuavg,U_only,0.7505422993492408,692,0.07327258324375041,0.151607370957135,0.36131903752167976,0.24134000540788714,0.9948750929856461,5.652314349697223,-0.0002413578474452532,0.9997360763478055
random80_20,Nuavg,U_only,0.8004338394793926,738,0.07497862518021081,0.15711726397483153,0.36839884674690626,0.2464737531892709,1.014076169714164,5.652314349697223,0.00030197624268572375,0.9997204698490885
random80_20,Nuavg,U_only,0.8503253796095445,784,0.07704850921825485,0.15957142191762969,0.39120945977962274,0.25038384057422985,1.1111189112904711,5.652314349697223,-0.00021638148755441313,0.9997055618871068
random80_20,Nuavg,U_only,0.9002169197396963,830,0.07963458277506998,0.16172724611272551,0.4098436458307396,0.2555346297720017,1.217041578105914,5.652314349697223,0.0016548901091426379,0.9996886429856683
random80_20,Nuavg,U_only,0.9501084598698482,876,0.08631199805377279,0.18679476474932916,0.44674144977526437,0.2625256616491675,1.3128716377590424,6.325682605790914,0.009743123813089177,0.9995776907771868
random80_20,Nuavg,U_only,1.0,922,0.1068686813404141,0.27484952615171765,0.5153089631954142,0.28310326081071735,1.8188460766990822,6.325682605790914,-0.007512487907161414,0.9991546592648101
random80_20,Nuavg,D_only,0.0509761388286334,47,0.04920120281462971,0.08023457906911635,0.25911243389211897,0.18122591163083407,0.7154931033588409,1.2054908579213799,0.012574569409959066,0.9998438194821544
random80_20,Nuavg,D_only,0.10086767895878525,93,0.04592564733361653,0.06864484304309248,0.2757685590187587,0.22660368441320108,0.7628305054613265,1.2054908579213799,0.011920442609889668,0.9998721048446867
random80_20,Nuavg,D_only,0.15075921908893708,139,0.05614049060190303,0.10822465373081838,0.3027165683014176,0.18418172140905856,0.8639307243930165,1.8408350527735469,-0.005677895711994774,0.9997498227917586
