split_name,target,bin_low,bin_high,count,mean_score,empirical_failure_rate
holdout_G03,DelP_Pa,0.6000000000000001,0.7000000000000001,28,0.6616923473305926,0.0
holdout_G03,DelP_Pa,0.7000000000000001,0.8,129,0.7596596549526863,0.0
holdout_G03,DelP_Pa,0.8,0.9,87,0.8569441333247552,0.0
holdout_G03,DelP_Pa,0.9,1.0,521,0.9844065364184176,0.0
holdout_G04,Nuavg,0.4,0.5,15,0.4444576952465065,0.0
holdout_G04,Nuavg,0.5,0.6000000000000001,96,0.5713938658160506,0.0625
holdout_G04,Nuavg,0.6000000000000001,0.7000000000000001,92,0.6518768761983005,0.09782608695652174
holdout_G04,Nuavg,0.7000000000000001,0.8,116,0.7354003179089653,0.06896551724137931
holdout_G04,Nuavg,0.8,0.9,74,0.8533757639427358,0.22972972972972974
holdout_G04,Nuavg,0.9,1.0,375,0.9933438454068065,0.176
holdout_G04,DelP_Pa,0.4,0.5,40,0.4467054303436743,0.0
holdout_G04,DelP_Pa,0.5,0.6000000000000001,166,0.5642849556890348,0.0
holdout_G04,DelP_Pa,0.6000000000000001,0.7000000000000001,108,0.6537380778326999,0.0
holdout_G04,DelP_Pa,0.7000000000000001,0.8,195,0.7359262146061456,0.0
holdout_G04,DelP_Pa,0.8,0.9,86,0.8547073207436822,0.0
holdout_G04,DelP_Pa,0.9,1.0,173,0.9819536679331533,0.0
holdout_G05,Nuavg,0.5,0.6000000000000001,24,0.570191191796798,0.041666666666666664
holdout_G05,Nuavg,0.6000000000000001,0.7000000000000001,53,0.6653668531162019,0.05660377358490566
holdout_G05,Nuavg,0.7000000000000001,0.8,169,0.7531209813321057,0.13609467455621302
holdout_G05,Nuavg,0.8,0.9,104,0.854126695575524,0.14423076923076922
holdout_G05,Nuavg,0.9,1.0,418,0.9772662948016214,0.10047846889952153
holdout_G05,DelP_Pa,0.5,0.6000000000000001,52,0.5686995055402819,0.0
holdout_G05,DelP_Pa,0.6000000000000001,0.7000000000000001,50,0.6596204747373696,0.0
holdout_G05,DelP_Pa,0.7000000000000001,0.8,176,0.7527797491874643,0.0
holdout_G05,DelP_Pa,0.8,0.9,100,0.8552523576421079,0.0
holdout_G05,DelP_Pa,0.9,1.0,390,0.9792954495625832,0.0
holdout_G06,Nuavg,0.9,1.0,768,1.0,0.2760416666666667
holdout_G06,DelP_Pa,0.9,1.0,768,1.0,0.7708333333333334
combined_G06_Re500,Nuavg,0.9,1.0,192,1.0,1.0
combined_G06_Re500,DelP_Pa,0.9,1.0,192,1.0,1.0
